CV Test Sol
2.895975415517819 2.32591673058794 "[5 7 1 4 4 3 1 4 2 6 1 4 4 1 5 4 7 1 6 3 1 1 7 3 2 5 4 1 6 3 1 2 5 1 7 6 7
 3 3 4 7 7 1 2 7 1 2 3 4 7 7 7 1 6 2 4 2 5 2 6 2 6 1 2 2 4 1 7 1 6 6 2 1 6
 1 7 5 2 7 1 1 5 1 5 0 3 7 0 0 1 6 3 7 3 1 6 5 4 5 2 3 0 1 6 0 2 5 0 2 5 5
 6 1 6 3 3 6 3 4 7 2 1 1 2 0 2 1 3 4 5 0 1 2 4 3 2 3 2 5 5 0 5 6 6 4 7 1 6
 3 6 5 7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1
 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 0 1]"
2.121909122707129 1.5561600044485628 "[5 6 1 5 3 1 5 1 1 6 5 5 6 7 6 3 1 2 2 1 1 2 7 2 3 1 5 2 5 1 4 2 5 2 7 1 6
 7 1 5 4 1 7 3 7 5 1 4 5 1 7 1 1 1 6 5 7 6 6 1 1 1 1 1 3 7 5 1 4 7 2 3 1 2
 3 4 3 4 2 2 7 2 1 0 0 7 0 7 3 6 1 1 7 2 1 7 3 4 7 2 6 3 4 6 0 5 5 7 5 3 4
 7 1 1 7 4 7 5 4 4 5 6 7 7 2 5 6 4 2 7 2 0 5 1 3 2 3 6 2 0 4 4 6 7 3 1 6 0
 1 4 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 1 1 1 1 0 0 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1
